충전소ID,충전소명,충전소주소,위도,경도
4188,칠북면사무소,경상남도 함안군 칠북면 검단리 1289-2,35.34663154,128.521679
4189,창포원,경상남도 거창군 남상면 월평리 2286,35.65458004,127.9390265
4190,신원면사무소,"경상남도 거창군 신원면 신차로 3067 (과정리, 신원면사무소)",35.5676738,127.92542
4191,한국농어촌공사,경상남도 합천군 합천읍 합천리 117-2,35.56566892,128.1702706
4163,홍원항,충청남도 서천군 서면 도둔리 1222-59,36.15629018,126.5001609
4164,동백꽃 관광지,충청남도 서천군 서면 마량리 339-6,36.13309098,126.500821
4165,서천특화시장,충청남도 서천군 서천읍 군사리 686-4,36.07436928,126.6897558
4166,은아아파트 5단지,대전광역시 서구 가수원동 808,36.29862279,127.3554697
4161,금산군 치매안심센터,충청남도 금산군 금산읍 중도리 214-3,36.1097166,127.4933169
4154,태릉시장 중화공영주차장,서울특별시 중랑구 중화동 73-6,37.59753308,127.0747761
4149,공주경찰서,충청남도 공주시 웅진동 242-12,36.45625595,127.1096256
4150,서울숲M타워,서울특별시 성동구 성수동1가 656-334,37.54413884,127.0465723
4151,구의삼성쉐르빌상가,서울특별시 광진구 구의동 199-18,37.5399385,127.0946075
4152,우림골목시장 주차장,서울특별시 중랑구 망우로62길 52-4,37.59675452,127.0982746
4147,곤지암 공영주차장,경기도 광주시 곤지암읍 곤지암리 555,37.3496274,127.346388
4148,도시첨단산업단지,전라북도 전주시 덕진구 팔복동2가 822,35.859975,127.084671
4143,북서울꿈의숲,서울특별시 강북구 번동 90,37.62154388,127.0412917
4145,신내테크노타운,서울특별시 중랑구 상봉동 485,37.60400228,127.0877352
4146,한국원자력의학원,서울특별시 노원구 공릉동 215-4,37.62839822,127.0822703
4140,산내마을 3단지,경기도 파주시 목동동 911,37.727476,126.730986
4133,e-편한세상 영종하늘도시,인천광역시 중구 운남동 1680-2,37.47775986,126.5138563
4134,신곡주공4단지 아파트,경기도 의정부시 신곡동 754,37.73846473,127.0582374
4135,양주문화예술회관,경기도 양주시 광적면 광석리 132,37.81256002,126.9729319
4136,백석생활체육공원,경기도 양주시 백석읍 오산리 256,37.8137714,126.9827521
4139,창전현대아파트,경기도 이천시 창전동 1-1,37.2829,127.4541
4121,충북 MBC,충청북도 청주시 흥덕구 가경동 352-8,36.618829,127.434936
4122,괴산문화체육센터,충청북도 괴산군 괴산읍 서부리 664,36.814209,127.786455
4123,단양군청,충청북도 단양군 단양읍 별곡리 300,36.98470224,128.3658216
4124,교동 행정복지센터,충청북도 제천시 장락동 674,37.14623786,128.2218565
4125,음성군 근로자종합복지관,충청북도 음성군 대소면 태생리 605,36.96569172,127.4960363
4126,중앙탑면 행정복지센터,충청북도 충주시 중앙탑면 탑평리 180-5,37.02890377,127.8570633
4127,리버파크자이아파트,충청북도 청주시 흥덕구 옥산면 가락리 981,36.676253,127.391065
4128,가경벽산아파트,충청북도 청주시 흥덕구 가경동 762,36.632185,127.432383
4129,청주가경아이파크1단지,충청북도 청주시 흥덕구 가경동 2220,36.617649,127.431321
4130,율량동아아파트,충청북도 청주시 청원구 율량동 1569,36.66425954,127.482448
4131,율량삼성아파트2차,충청북도 청주시 청원구 율량동 1180,36.6678327,127.4792938
4116,대전경제통상진흥원,대전광역시 유성구 장동 23-14,36.39247042,127.360277
4112,간석한신더휴,인천광역시 남동구 간석동 616-6,37.467934,126.687925
4114,시흥배곧한라비발디3차,경기도 시흥시 정왕동 2558,37.363364,126.717595
4109,무등파크 전기차충전소,전라남도 영암군 영암읍 교동리 45,34.79541742,126.6964458
4108,원석비바체아파트 전기차충전소,경기도 양평군 용문면 다문리 390-22,37.490426,127.597775
4106,화도수동행정복지센터,경기도 남양주시 화도읍 마석우리 548,37.39262,127.18035
4107,다산체육공원,경기도 남양주시 다산동 6033,37.627614,127.159622
4104,선경3차아파트,전라남도 여수시 미평동 807,34.77101712,127.6990356
4100,산운마을대광로제비앙아파트,경기도 성남시 분당구 운중동 949,37.3909652,127.074908
4101,위례자연앤센트럴자이 아파트,경기도 성남시 수정구 창곡동 504,37.4737382,127.138692
4088,한국전력공사 영종지사 사옥,인천광역시 중구 운서동 3099-2,37.48948533,126.5002175
4089,수원시상수도사업소,경기도 수원시 장안구 하광교동 416-1,37.3002214,127.0279245
4091,비산e편한세상아파트,경기도 안양시 동안구 비산동 1165,37.399991,126.942446
4092,용호마을E편한세상아파트,경기도 군포시 당동 979-1,37.343594,126.936685
4093,관악산현대홈타운,경기도 안양시 만안구 석수동 166,37.420683,126.912119
4087,송도더샵퍼스트파크F15블록 아파트,인천광역시 연수구 송도동 102,37.3861385,126.6352668
4081,진안동공영주차장,경기도 화성시 진안동 874-1,37.21361171,127.0398143
4082,(편의제공형)인천광역시청,인천광역시 남동구 구월동 1138,37.45581963,126.7062908
4079,남촌농산물도매시장 전기차충전소,인천광역시 남동구 남촌동 177-1,37.424211,126.7188754
4075,배다리도서관,경기도 평택시 죽백6로 20 (죽백동),37.00242898,127.1199965
4076,원평제1공영주차장,경기도 평택시 평택동 185-47,36.98921477,127.0860721
4077,국방대학교,충청남도 논산시 양촌면 거사리 230,36.178488,127.208956
4078,송도1동 주민센터,인천광역시 연수구 송도동 3-33,37.391353,126.65199
4071,대호지면사무소,충청남도 당진시 대호지면 조금리 183,36.89991259,126.5039495
4072,충청남도 당진교육지원청,충청남도 당진시 대덕동 1807,36.88449595,126.6362356
4073,기지시줄다리기박물관,충청남도 당진시 송악읍 기지시리 49-1,36.89604323,126.6949861
4074,고운동 복합커뮤니티센터(남측),세종특별자치시 고운동 1712,36.50454207,127.2353076
4069,농어촌공사 서천지사,충청남도 서천군 서천읍 사곡리 62-1,36.082695,126.699684
4070,충남과학교육원,충청남도 아산시 장존동 185-9,36.74887216,126.9919908
4060,금안한글마을,전라남도 나주시 노안면 금안리 76,35.07507552,126.7009808
4062,덕풍수리골공원 공영주차장,경기도 하남시 덕풍동 336-55,37.54536832,127.198526
4063,덕풍어린이공원 공영주차장,경기도 하남시 덕풍동 361-2,37.53988121,127.1974124
4064,힐즈파크푸르지오2단지,경기도 하남시 풍산동 626,37.54433674,127.1946433
4065,부여읍 행정복지센터,충청남도 부여군 부여읍 동남리 692,36.275517,126.911279
4066,남평동사리공용주차장,전라남도 나주시 남평읍 동사리 336-4,35.04477081,126.8488165
4067,에너지밸리산학융합원,전라남도 나주시 동수동 394-5,34.97734597,126.6883647
4068,식품산업연구센터,전라남도 나주시 동수동 385-5,34.98452698,126.6898298
4038,동구생활문화센터,대전광역시 동구 가오동 559-1,36.30419544,127.4589945
4039,전남대학교치과병원,광주광역시 북구 용봉동 300,35.17694453,126.9045451
4040,마곡 이웰메디파크,서울특별시 강서구 마곡동 801-7,37.55786847,126.8349445
4041,한국방송광고진흥공사,서울특별시 양천구 목동 923-5,37.52695884,126.8715053
4042,서울남부출입국 외국인사무소,서울특별시 강서구 마곡동 745,37.56124701,126.8213733
4043,강서수도사업소,서울특별시 양천구 신정동 319-15,37.51953536,126.8699131
4044,대방중간집하장 공영주차장,서울특별시 동작구 대방동 67-1,37.51388426,126.9309275
4045,힐스테이트 강동리버뷰,서울특별시 강동구 암사동 675,37.54882027,127.1253702
4046,미주진로아파트,서울특별시 강서구 등촌동 701,37.55983847,126.8470287
4047,신정동일하이빌아파트2단지,서울특별시 양천구 신정동 1310,37.510846,126.840186
4048,신림 주공2단지,서울특별시 관악구 신림동 광신길 86,37.46425,126.92662
4049,구로중앙하이츠아파트,서울특별시 구로구 구로동 1269,37.49877,126.88051
4050,바다마을아파트,서울특별시 영등포구 신길동 가마산로 540,37.50276,126.91541
4051,과천래미안센트럴스위트,경기도 과천시 별양동 별양로 163,37.4322,126.99762
4052,문래힐스테이트,서울특별시 영등포구 문래동3가 94,37.51872,126.89107
4053,등마루 공영주차장,서울특별시 양천구 목동 965-1,37.54592621,126.8654891
4054,관악구 평생학습관,서울특별시 관악구 신림동 1577-4,37.4829506,126.9224274
4055,구로아트밸리 지하2층,서울특별시 구로구 구로동 102,37.49694727,126.889556
4056,반포동방음언덕형 공영주차장,서울특별시 서초구 반포동 730-2,37.50479068,127.0186203
